"";"metric";"method";"mean_dist";"sd_dist";"min_dist";"max_dist";"setting";"min_node_size";"covered_effect_vars";"covered_noise_vars";"effect_var_fdr";"time";"mse_val_dat_rf";"mse_val_dat_tree";"mse_rf_pred";"probs_quantiles";"number_splits";"imp.num.var";"epsilon";"method_short";"scenario";"rel_MSE"
"24";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;3,61803333333333;3,4859730354031;3,49584532087625;1,75007226581969;"No quantiles";6;"5";0,05;"ART";"Scenario 1";1,00283200282185
"25";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,31143333333333;3,40510985112466;3,79422947141696;1,49134580435415;"No quantiles";6;"5";0,05;"ART";"Scenario 1";1,11427520324015
"26";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,65475;3,59351954110319;4,25375779009984;1,2543674781837;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,18373025148319
"27";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,91711666666667;3,56495354460702;3,98265355235617;1,24446343950318;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,11716842941223
"28";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,90241666666667;3,68105841988161;4,27621593817386;1,28424370570564;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,16168108473307
"29";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,71006666666667;3,33697808508852;3,93570563948487;1,39844719394222;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,17942208163482
"30";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,8823;3,22981862947104;4,02242391130817;1,375481307127;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,24540241195121
"31";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,23551666666667;3,25602535976286;3,96820297624153;1,41679475535632;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,21872606561349
"32";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,20843333333333;3,26124177032224;4,13397642859486;1,471078826969;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,2676080829746
"33";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,72775;3,05551813681102;3,68415715958388;1,24221281864615;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,20573892695952
"34";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,11968333333333;3,71058112929778;4,11643525867014;1,369705289853;"No quantiles";6;"5";0,05;"ART";"Scenario 1";1,10937751129273
"35";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,07706666666667;3,49871650786755;3,70116444277621;1,49469940406946;"No quantiles";6;"5";0,05;"ART";"Scenario 1";1,05786348635376
